Keyword,Search Index,Minimum Price,Sort,Node,Competition,Global Monthly Searches,Local Monthly Searches,Approximate CPC
best backpacks,SportingGoods,40,,,0.57,18100,14800,$1.10
best bluetooth,Wireless,200,salesrank,,0.43,110000,74000,$1.10
best car battery,Automotive,50,salesrank,,0.53,12100,9900,$1.10
best creatine supplement,HealthPersonalCare,,salesrank,,0.19,6600,4400,$1.09
best electric shaver,Kitchen,40,,,0.53,27100,18100,$1.09
trampolines best price,SportingGoods,,,,1,2400,720,$1.08
best hdtv,Electronics,100,,,0.55,74000,60500,$1.07
best walking shoes,Shoes,,,,0.68,27100,22200,$1.07
best bbq,HomeImprovement,10,,,0.15,90500,60500,$1.06
best lcd tvs,Electronics,500,,,0.57,135000,74000,$1.06
best makeup brushes,Beauty,,,,0.5,8100,5400,$1.06
best bluetooth headset,Electronics,50,,,0.41,49500,33100,$1.05
best smartphone 2010,Wireless,200,salesrank,,0.34,33100,12100,$1.05
best vacuum cleaner,Kitchen,100,,,0.84,49500,27100,$1.05
best electric razor,Kitchen,50,,,0.56,40500,27100,$1.04
best fat burners,HealthPersonalCare,,,,0.46,33100,22200,$1.04
best toilet,Kitchen,50,,,0.54,27100,18100,$1.04
best work boots,Shoes,80,,,0.73,8100,6600,$1.04
best ereaders,Electronics,100,salesrank,,0.64,9900,6600,$1.03
best upright vacuum,Kitchen,100,,,0.8,8100,6600,$1.03
best netbooks,Electronics,200,salesrank,353275582,0.39,49500,27100,$1.02
best weight gainer,HealthPersonalCare,20,,,0.34,33100,14800,$1.02
best electric shavers,Electronics,50,,,0.57,33100,18100,$1.01
best netbook,Electronics,100,salesrank,353275582,0.32,165000,74000,$1.01
best photo scanner,Electronics,100,,,0.71,5400,4400,$1.01
best lcd tv,Electronics,100,,,0.56,135000,60500,$1.00
best luggage,Kitchen,50,,,0.67,40500,27100,$1.00
best pedometer,SportingGoods,,,,0.49,8100,5400,$1.00
best dresses,Apparel,,,,0.63,74000,40500,$0.99
best chicken recipes,Books,,,,0.08,74000,49500,$0.98
best friend bracelets,Jewelry,,,,0.54,6600,5400,$0.98
best rc helicopter,Electronics,100,salesrank,,0.63,12100,6600,$0.98
best fat burner,HealthPersonalCare,,,,0.47,27100,14800,$0.97
best recipes ever,Books,,,,0.06,135000,49500,$0.97
best grills,HomeImprovement,,,,0.77,27100,22200,$0.96
best televisions,Electronics,100,,,0.72,18100,9900,$0.96
best gas grills,HomeImprovement,100,,,0.81,9900,9900,$0.95
best hd camcorders,Photo,300,,,0.4,40500,22200,$0.95
best wireless headphones,Electronics,50,,,0.48,12100,8100,$0.95
best sunscreen,Kitchen,,,11062651,0.47,33100,22200,$0.94
best ereader,Electronics,100,salesrank,,0.52,40500,27100,$0.93
best exterior paint,HomeImprovement,10,,,0.6,8100,6600,$0.93
best hd camcorder,Photo,300,,,0.39,33100,18100,$0.93
best karaoke machine,Electronics,50,,,0.69,4400,2900,$0.93
best straightening iron,Kitchen,,,,0.67,1900,1600,$0.93
best compact camera,Photo,,,,0.29,60500,22200,$0.92
best small camera,Photo,200,reviewrank,,0.54,9900,5400,$0.92
best android tablet,Electronics,200,,1232597011,0.5,27100,14800,$0.91
best gaming headset,Electronics,50,reviewrank,,0.43,18100,9900,$0.91
best golf gps,Electronics,50,,,0.42,9900,8100,$0.90
best hiking boots,Shoes,100,,,0.62,9900,8100,$0.90
best resume format,Books,,,,0.3,12100,4400,$0.90
best lcd monitor,Electronics,100,,,0.33,14800,6600,$0.89
best camera 2010,Photo,,,,0.29,74000,33100,$0.88
best hair straighteners,Beauty,,,,0.66,12100,3600,$0.88
best microwaves,Kitchen,100,,,0.75,6600,5400,$0.88
best straightener,Beauty,,,,0.55,27100,18100,$0.88
best gas grill,HomeImprovement,,,,0.68,9900,8100,$0.87
the best camera,Photo,,,,0.38,90500,40500,$0.86
best acoustic guitar,Kitchen,100,,,0.17,60500,33100,$0.85
best ebook reader,Electronics,100,,,0.39,33100,12100,$0.85
best flashlight,Kitchen,20,,,0.57,18100,14800,$0.85
best flat irons,Beauty,,,,0.64,40500,33100,$0.85
best hair straightener,Beauty,,,,0.58,22200,14800,$0.85
best pc speakers,Electronics,50,,,0.41,12100,3600,$0.84
best yoga mat,SportingGoods,,,,0.47,5400,3600,$0.84
best friend jewelry,Jewelry,50,,,0.85,3600,2900,$0.83
best flat iron,Kitchen,,,,0.6,33100,27100,$0.82
best graphics card,PCHardware,,,,0.07,60500,27100,$0.82
best plasma tv,Electronics,1000,salesrank,,0.51,40500,27100,$0.82
best christmas cookies,Books,,,,0.08,6600,5400,$0.81
best cribs,Baby,100,psrank,166815011,0.72,9900,8100,$0.81
best microwave,Kitchen,50,,,0.62,40500,27100,$0.81
best pc games,VideoGames,40,,,0.04,301000,90500,$0.81
best umbrella,Shoes,10,,,0.64,14800,9900,$0.81
best snow blower,Tools,100,,,0.59,9900,8100,$0.80
best space heaters,Kitchen,30,,,0.69,12100,9900,$0.80
best camcorder,Electronics,200,,,0.39,135000,74000,$0.79
best camcorder 2010,Electronics,200,,,0.35,14800,8100,$0.79
best leaf blower,Kitchen,200,,,0.8,4400,3600,$0.79
best wallpapers,Kitchen,,,,0.04,165000,22200,$0.79
best blow dryer,Beauty,,,,0.63,5400,4400,$0.78
best gaming mouse,Electronics,30,reviewrank,,0.3,22200,9900,$0.78
best lawn mowers,Kitchen,50,,,0.77,33100,27100,$0.78
best perfumes,Beauty,,,,0.37,33100,9900,$0.78
best computer games,VideoGames,50,,,0.14,27100,14800,$0.77
best diaper bags,Baby,,psrank,,0.69,9900,8100,$0.77
best camcorders,Electronics,100,,,0.5,33100,18100,$0.76
best diaper bag,Baby,,psrank,,0.63,6600,5400,$0.76
best iron,Kitchen,10,,510242,0.45,135000,90500,$0.76
best snowblower,Kitchen,100,,,0.59,9900,8100,$0.76
best toaster ovens,Kitchen,50,,,0.75,12100,9900,$0.76
best computer speakers,Electronics,50,reviewrank,,0.33,27100,18100,$0.75
best snow blowers,Kitchen,200,,,0.66,12100,9900,$0.75
best golf driver,SportingGoods,,,,0.32,12100,6600,$0.74
best baby bottles,Baby,,psrank,,0.36,9900,6600,$0.73
best dslr,Photo,300,salesrank,,0.18,110000,49500,$0.73
best dvd player,Electronics,100,salesrank,,0.47,49500,27100,$0.73
best garmin gps,Electronics,100,,,0.66,14800,9900,$0.73
best mp3 player,Electronics,100,salesrank,1264866011,0.34,74000,33100,$0.73
best nikon camera,Photo,100,,,0.42,14800,8100,$0.73
best tanning lotion,HealthPersonalCare,,,,0.41,27100,22200,$0.73
best canon camera,Photo,200,,,0.41,27100,14800,$0.72
best golf balls,SportingGoods,,,,0.55,9900,6600,$0.72
best lawn mower,Kitchen,100,,,0.72,27100,18100,$0.72
best baby toys,Baby,,psrank,,0.53,6600,3600,$0.71
best golf clubs,SportingGoods,100,,,0.41,27100,18100,$0.71
best hdtv antenna,Electronics,30,,,0.82,8100,6600,$0.71
best humidifiers,Kitchen,50,,,0.74,5400,4400,$0.71
best tents,SportingGoods,,,,0.64,18100,9900,$0.71
best netbook 2010,Electronics,300,,353275582,0.27,22200,8100,$0.70
best steam mop,Kitchen,,,,0.69,9900,8100,$0.70
best yoga dvd,DVD,,reviewrank,,0.32,9900,6600,$0.70
best cordless phone,Electronics,20,,,0.63,18100,12100,$0.69
best hair dryer,Kitchen,40,,,0.65,22200,14800,$0.69
best car seat,Kitchen,50,,166839011,0.43,40500,33100,$0.68
best coffee maker,Kitchen,50,reviewrank,289745,0.67,40500,33100,$0.68
best coffee makers,Kitchen,50,,289745,0.7,60500,49500,$0.68
best kitchen knives,Kitchen,30,,,0.48,8100,5400,$0.68
best nonstick cookware,Kitchen,50,reviewrank,,0.68,4400,3600,$0.68
best space heater,Kitchen,50,,,0.64,5400,5400,$0.68
best toaster oven,Kitchen,100,,,0.72,9900,8100,$0.68
best hair dryers,Kitchen,,,,0.68,27100,18100,$0.67
best cordless phones,Kitchen,50,,,0.65,33100,22200,$0.66
best dslr camera,Photo,300,salesrank,,0.26,40500,18100,$0.66
best humidifier,Kitchen,50,,,0.62,22200,18100,$0.66
best binoculars,SportingGoods,40,,,0.63,27100,14800,$0.65
best board games,Kitchen,,,,0.11,40500,27100,$0.65
best breast pump,Baby,,psrank,,0.32,12100,8100,$0.65
best car seats,Kitchen,50,,166839011,0.47,74000,49500,$0.65
best friend rings,Jewelry,100,,,0.59,3600,2900,$0.65
best cookware sets,Kitchen,110,reviewrank,,0.65,1900,1900,$0.64
best mp3 players,Electronics,100,,1264866011,0.52,22200,12100,$0.64
the best games -controller,VideoGames,20,,,0.2,246000,74000,$0.64
best baby strollers,Baby,50,psrank,166845011,0.61,9900,6600,$0.63
best friend necklaces,Jewelry,50,,,0.57,14800,12100,$0.63
best gps 2010,Electronics,100,,,0.43,14800,9900,$0.63
best gps units,Electronics,100,,,0.66,4400,3600,$0.63
best slr cameras,Photo,500,salesrank,,0.29,60500,27100,$0.63
best baby monitor,Baby,,psrank,166870011,0.41,14800,9900,$0.62
best booster seats,Baby,,psrank,,0.68,5400,4400,$0.62
best double stroller,Baby,50,psrank,166845011,0.58,8100,6600,$0.62
best game ever -controller,VideoGames,,,,0.12,110000,49500,$0.62
best baby monitors,Baby,30,psrank,166870011,0.43,22200,12100,$0.61
best games ever,VideoGames,,,,0.13,90500,33100,$0.61
best motherboard,Electronics,50,,,0.34,74000,33100,$0.61
best slr,Photo,300,salesrank,,0.26,90500,40500,$0.61
best stroller,Kitchen,50,,166845011,0.52,49500,33100,$0.61
best strollers,Kitchen,100,,166845011,0.58,27100,18100,$0.61
best xbox games -controller,VideoGames,20,,,0.04,135000,74000,$0.61
best christmas movies,DVD,,salesrank,,0.05,33100,18100,$0.60
best digital camcorder,Electronics,300,,,0.45,5400,3600,$0.60
best gadgets,Electronics,50,,,0.14,40500,14800,$0.60
best juicer,Kitchen,50,,,0.73,27100,18100,$0.60
best slr camera,Photo,,,,0.28,40500,22200,$0.60
best subwoofer,Electronics,100,,,0.2,40500,27100,$0.60
best coffee grinder,Kitchen,30,,,0.58,6600,5400,$0.59
best digital cameras,Photo,200,,,0.45,110000,60500,$0.59
best interior paint,HomeImprovement,,,,0.52,8100,6600,$0.59
best bikes,SportingGoods,,,,0.44,90500,49500,$0.58
best irons,Beauty,,,510242,0.39,60500,33100,$0.58
best workout songs,MP3Downloads,,salesrank,,0.05,27100,22200,$0.58
best car speakers,Automotive,,salesrank,,0.34,14800,9900,$0.57
best digital slr,Photo,300,salesrank,,0.31,40500,18100,$0.57
best mmorpg games,VideoGames,,,,0.39,14800,5400,$0.57
best toaster,Kitchen,,,,0.7,22200,18100,$0.57
best tv antenna,Electronics,500,,,0.85,12100,9900,$0.57
best radar detectors,Electronics,50,,,0.56,22200,18100,$0.56
best cookware,Kitchen,50,,,0.6,33100,27100,$0.55
best knife sharpener,Kitchen,,,,0.62,8100,5400,$0.54
best routers,Electronics,40,,,0.46,33100,22200,$0.54
best jogging stroller,Baby,50,psrank,166845011,0.64,5400,5400,$0.53
best wifi router,Electronics,40,,,0.51,6600,3600,$0.53
best wireless keyboard,Electronics,30,,,0.42,12100,6600,$0.53
the best gps,Electronics,50,,,0.59,27100,22200,$0.53
best radar detector,Electronics,100,,,0.54,18100,14800,$0.52
best songs ever,MP3Downloads,2,reviewrank,,0.01,135000,40500,$0.52
best bicycles,SportingGoods,500,,,0.58,12100,8100,$0.51
best blenders,Kitchen,30,,,0.78,8100,6600,$0.51
best cameras 2010,Photo,200,salesrank,,0.42,40500,27100,$0.51
best juicers,Kitchen,,,,0.75,33100,22200,$0.51
best lawn tractor,Kitchen,200,,,0.75,3600,2900,$0.51
best motherboards,PCHardware,50,,,0.45,8100,4400,$0.51
best rap songs,MP3Downloads,5,salesrank,,0.01,90500,60500,$0.51
best costumes,Apparel,20,,,0.25,90500,60500,$0.50
best halloween costumes,Apparel,20,,,0.13,74000,60500,$0.50
best high chair,Baby,,psrank,,0.6,8100,4400,$0.50
best golf irons,SportingGoods,,,,0.26,12100,8100,$0.49
best toasters,Kitchen,30,salesrank,,0.71,4400,2400,$0.49
best pressure cooker,Kitchen,30,,,0.64,5400,4400,$0.48
best wireless mouse,Electronics,40,,,0.38,18100,9900,$0.48
best cordless drill,Electronics,50,,,0.5,9900,6600,$0.47
best high chairs,Baby,50,psrank,,0.66,9900,5400,$0.46
best kite,Toys,,salesrank,,0.26,18100,4400,$0.46
best mmo,VideoGames,,,,0.15,40500,22200,$0.45
best bathroom scale,Kitchen,40,,,0.67,2900,2400,$0.44
best bread maker,Kitchen,100,,,0.43,8100,2900,$0.44
best curling iron,Kitchen,,,,0.42,14800,9900,$0.44
best sewing machine,Kitchen,150,reviewrank,,0.52,22200,14800,$0.44
best chainsaw,Tools,100,,552918,0.55,9900,8100,$0.43
best mmorpg,VideoGames,,,,0.25,110000,49500,$0.43
best breadmaker,Kitchen,100,,,0.43,8100,2900,$0.42
best country songs,MP3Downloads,2,reviewrank,,0.01,49500,40500,$0.42
best curling irons,Kitchen,30,,,0.44,18100,12100,$0.42
best kites,Toys,,salesrank,,0.42,4400,1600,$0.42
best universal remote,Electronics,50,,,0.43,8100,6600,$0.42
best wireless routers,Electronics,50,reviewrank,,0.41,110000,74000,$0.41
best dvd recorder,Electronics,200,,1036920,0.6,12100,6600,$0.40
best food processors,Kitchen,50,,,0.49,22200,12100,$0.40
best mountain bike,SportingGoods,500,,,0.31,49500,27100,$0.40
best wireless router,Electronics,50,reviewrank,,0.41,110000,74000,$0.40
best food processor,Kitchen,100,,,0.46,18100,9900,$0.39
best irons 2010,Kitchen,50,,510242,0.29,6600,3600,$0.39
best sewing machines,Kitchen,150,reviewrank,,0.66,6600,4400,$0.39
best slow cooker,Kitchen,50,,,0.23,27100,14800,$0.39
best steam iron,Kitchen,50,,510242,0.78,8100,2900,$0.39
best steam irons,Kitchen,30,,510242,0.79,14800,4400,$0.39
best waffle maker,Kitchen,,,,0.6,3600,2900,$0.39
best rice cooker,Kitchen,30,,,0.44,8100,5400,$0.38
best quotes,Books,,,,0.02,60500,22200,$0.37
best deep fryer,Kitchen,40,,,0.64,5400,3600,$0.36
best meatloaf recipe,Books,,,,0.13,12100,9900,$0.36
best mountain bikes,SportingGoods,500,,,0.48,9900,5400,$0.36
best road bikes,SportingGoods,1000,,,0.46,12100,8100,$0.36
best slow cookers,Kitchen,30,,,0.26,27100,18100,$0.36
best bread machine,Kitchen,50,,,0.28,8100,6600,$0.35
best crock pot,Kitchen,,,,0.12,27100,27100,$0.35
best wedding songs,MP3Downloads,,salesrank,,0.07,33100,22200,$0.34
best gps 2011,Electronics,100,,,0.41,4400,3600,$0.32
best mmorpg 2010,VideoGames,,,,0.25,18100,6600,$0.31
best paintball gun,SportingGoods,50,,,0.28,9900,8100,$0.29
best bluray player,Electronics,100,salesrank,,0.44,49500,33100,$0.28
best movies ever,DVD,,,,0.05,110000,27100,$0.21